precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.2,0.67,0.31,0.37,3.67,3.67,3.67
0.3,0.5,0.37,0.81,2.57,3.12,3.12
0.1,1.0,0.18,1.0,5.15,3.8,3.67
0.0,0.0,0.0,0.0,2.66,3.51,3.17
0.4,1.0,0.57,0.62,3.8,3.57,3.67
0.1,1.0,0.18,1.0,2.44,3.38,3.17
0.4,1.0,0.57,1.0,6.67,3.85,3.67
0.1,1.0,0.18,1.0,2.26,3.65,3.17
0.1,1.0,0.18,1.0,3.78,3.67,3.67
0.4,0.67,0.5,1.0,4.54,3.75,3.73
1.0,0.45,0.62,1.0,2.08,3.6,3.67
0.1,0.33,0.15,0.17,2.33,3.5,3.17
0.2,1.0,0.33,1.0,6.41,3.72,3.67
0.1,1.0,0.18,1.0,1.87,3.59,3.17
0.5,0.71,0.59,0.53,3.02,3.55,3.02
0.6,1.0,0.75,0.92,1.99,3.45,2.84
0.1,1.0,0.18,1.0,2.0,3.37,2.66
0.1,1.0,0.18,1.0,6.78,3.56,2.84
0.0,0.0,0.0,0.0,3.51,3.56,3.02
0.9,0.6,0.72,1.0,3.33,3.54,3.18
0.9,0.64,0.75,1.0,0.4,3.39,3.02
0.3,1.0,0.46,0.61,0.58,3.27,2.84
1.0,0.77,0.87,1.0,3.21,3.26,3.02
0.2,1.0,0.33,1.0,8.31,3.47,3.11
0.1,0.5,0.17,1.0,6.24,3.58,3.21
0.5,0.56,0.53,0.81,4.46,3.62,3.27
0.2,1.0,0.33,1.0,2.82,3.59,3.21
0.0,0.0,0.0,0.0,0.71,3.49,3.11
0.2,1.0,0.33,1.0,2.86,3.46,3.02
0.1,0.5,0.17,0.1,4.21,3.49,3.11
0.9,0.43,0.58,0.99,4.09,3.51,3.21
0.2,1.0,0.33,1.0,2.25,3.47,3.11
0.0,0.0,0.0,0.0,2.66,3.44,3.02
0.1,1.0,0.18,1.0,11.31,3.68,3.11
0.8,1.0,0.89,1.0,0.68,3.59,3.02
1.0,0.71,0.83,1.0,5.64,3.65,3.11
0.2,1.0,0.33,1.0,3.57,3.65,3.21
0.1,1.0,0.18,1.0,5.69,3.7,3.27
0.6,1.0,0.75,0.98,5.49,3.74,3.33
0.5,1.0,0.67,0.5,1.93,3.7,3.27
0.7,0.32,0.44,0.81,1.81,3.65,3.21
0.5,1.0,0.67,1.0,6.73,3.73,3.27
0.1,1.0,0.18,1.0,1.42,3.67,3.21
0.1,1.0,0.18,1.0,2.72,3.65,3.11
0.1,1.0,0.18,0.2,1.13,3.6,3.02
0.1,1.0,0.18,1.0,2.06,3.56,2.94
0.2,0.4,0.27,0.33,3.15,3.55,3.02
0.0,0.0,0.0,0.0,0.97,3.5,2.94
0.8,1.0,0.89,1.0,3.56,3.5,3.02
0.3,1.0,0.46,0.81,2.88,3.49,2.95
0.1,0.33,0.15,0.2,4.47,3.51,3.02
