precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.03,1.0,0.06,0.83,3.85,3.85,3.85
0.06,1.0,0.11,0.83,2.52,3.18,3.18
0.01,1.0,0.02,1.0,4.97,3.78,3.85
0.03,1.0,0.06,0.36,2.62,3.49,3.23
0.04,1.0,0.08,0.73,3.75,3.54,3.75
0.01,1.0,0.02,1.0,2.31,3.33,3.18
0.04,1.0,0.08,1.0,6.55,3.79,3.75
0.01,1.0,0.02,0.5,2.27,3.6,3.18
0.01,1.0,0.02,1.0,3.14,3.55,3.14
0.06,1.0,0.11,0.93,2.97,3.49,3.06
0.18,0.82,0.3,0.95,1.29,3.29,2.97
0.03,1.0,0.06,0.15,1.67,3.16,2.79
0.02,1.0,0.04,1.0,6.04,3.38,2.97
0.01,1.0,0.02,1.0,1.76,3.26,2.79
0.07,1.0,0.13,0.46,2.73,3.23,2.73
0.06,1.0,0.11,1.0,1.78,3.14,2.67
0.01,1.0,0.02,1.0,1.85,3.06,2.62
0.01,1.0,0.02,1.0,6.31,3.24,2.67
0.01,0.5,0.02,0.12,3.41,3.25,2.73
0.15,1.0,0.26,0.96,2.97,3.24,2.85
0.14,1.0,0.25,1.0,0.39,3.1,2.73
0.03,1.0,0.06,0.46,0.62,2.99,2.67
0.13,1.0,0.23,0.95,3.1,2.99,2.73
0.02,1.0,0.04,1.0,8.03,3.2,2.85
0.02,1.0,0.04,0.7,5.94,3.31,2.97
0.09,1.0,0.17,0.25,4.39,3.35,2.97
0.02,1.0,0.04,1.0,2.81,3.33,2.97
0.0,0.0,0.0,0.0,0.66,3.24,2.89
0.02,1.0,0.04,0.83,2.4,3.21,2.81
0.02,1.0,0.04,1.0,4.07,3.24,2.89
0.19,0.9,0.31,1.0,3.87,3.26,2.97
0.02,1.0,0.04,1.0,2.01,3.22,2.89
0.0,0.0,0.0,0.0,2.44,3.2,2.81
0.01,1.0,0.02,1.0,10.82,3.42,2.89
0.08,1.0,0.15,1.0,0.65,3.34,2.81
0.14,1.0,0.25,1.0,5.46,3.4,2.89
0.02,1.0,0.04,1.0,3.53,3.4,2.97
0.01,1.0,0.02,1.0,6.1,3.48,2.97
0.06,1.0,0.11,1.0,5.5,3.53,2.97
0.5,1.0,0.67,1.0,1.8,3.48,2.97
0.1,0.45,0.16,0.91,1.66,3.44,2.97
0.05,1.0,0.1,1.0,6.33,3.51,2.97
0.01,1.0,0.02,1.0,1.34,3.46,2.97
0.01,1.0,0.02,1.0,2.57,3.44,2.89
0.01,1.0,0.02,1.0,1.06,3.38,2.81
0.01,1.0,0.02,1.0,1.85,3.35,2.77
0.05,1.0,0.1,0.33,2.87,3.34,2.81
0.04,1.0,0.08,0.04,0.91,3.29,2.77
0.08,1.0,0.15,0.9,3.39,3.29,2.81
0.03,1.0,0.06,1.0,2.69,3.28,2.77
0.01,0.33,0.02,0.08,4.37,3.3,2.81
0.03,0.6,0.06,0.81,3.31,3.3,2.84
0.01,0.33,0.02,0.03,3.06,3.3,2.87
0.12,1.0,0.21,1.0,0.29,3.24,2.84
0.05,1.0,0.1,0.88,2.1,3.22,2.81
0.08,0.89,0.15,1.0,0.17,3.17,2.77
0.01,1.0,0.02,1.0,0.85,3.13,2.73
0.02,1.0,0.04,1.0,1.61,3.1,2.71
0.0,0.0,0.0,0.0,3.1,3.1,2.73
0.03,1.0,0.06,1.0,0.97,3.06,2.71
0.07,1.0,0.13,1.0,0.63,3.02,2.69
0.01,1.0,0.02,1.0,2.77,3.02,2.71
0.03,1.0,0.06,0.2,2.65,3.01,2.69
0.0,0.0,0.0,0.0,2.53,3.01,2.67
0.07,0.88,0.13,0.43,2.74,3.0,2.69
0.06,1.0,0.11,0.8,0.96,2.97,2.67
0.02,0.67,0.04,0.02,2.54,2.96,2.65
0.07,0.7,0.13,0.96,1.07,2.94,2.64
0.01,1.0,0.02,0.2,2.39,2.93,2.62
0.01,1.0,0.02,0.5,0.94,2.9,2.59
0.08,0.89,0.15,0.72,0.82,2.87,2.57
0.04,1.0,0.08,0.74,2.72,2.87,2.59
0.01,1.0,0.02,1.0,3.77,2.88,2.62
0.01,1.0,0.02,1.0,2.31,2.87,2.59
0.04,1.0,0.08,0.11,2.13,2.86,2.57
0.01,1.0,0.02,1.0,0.54,2.83,2.55
0.02,0.67,0.04,1.0,2.28,2.83,2.54
0.01,1.0,0.02,1.0,0.64,2.8,2.53
0.03,1.0,0.06,0.4,3.02,2.8,2.54
0.01,1.0,0.02,0.17,5.31,2.83,2.55
0.03,1.0,0.06,0.92,1.34,2.81,2.54
0.03,0.43,0.06,0.31,2.48,2.81,2.53
0.05,1.0,0.1,0.04,2.33,2.8,2.53
0.03,0.75,0.06,1.0,2.26,2.8,2.52
0.02,0.67,0.04,0.03,1.18,2.78,2.52
0.01,1.0,0.02,1.0,2.53,2.78,2.52
0.01,0.33,0.02,0.12,2.09,2.77,2.52
0.01,0.25,0.02,0.01,1.89,2.76,2.5
0.06,1.0,0.11,0.25,1.16,2.74,2.48
0.01,1.0,0.02,1.0,0.04,2.71,2.46
0.01,1.0,0.02,0.17,0.25,2.68,2.44
0.05,1.0,0.1,0.22,0.58,2.66,2.42
0.07,1.0,0.13,1.0,3.34,2.67,2.44
0.09,1.0,0.17,1.0,1.14,2.65,2.42
0.01,1.0,0.02,0.25,6.52,2.69,2.44
0.01,1.0,0.02,0.07,1.06,2.67,2.42
0.0,0.0,0.0,0.0,1.79,2.67,2.4
0.02,1.0,0.04,0.06,1.35,2.65,2.39
0.05,1.0,0.1,0.76,1.09,2.64,2.39
0.16,0.94,0.27,0.58,4.59,2.66,2.39
