precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.06,1.0,0.11,0.7,9.61,9.61,9.61
0.12,1.0,0.21,0.59,6.16,7.89,7.89
0.02,1.0,0.04,1.0,24.02,13.26,9.61
0.06,1.0,0.11,0.09,11.55,12.83,10.58
0.08,1.0,0.15,0.4,9.78,12.22,9.78
0.02,1.0,0.04,1.0,6.44,11.26,9.7
0.08,1.0,0.15,1.0,21.13,12.67,9.78
0.02,1.0,0.04,0.33,2.49,11.4,9.7
0.02,1.0,0.04,1.0,11.63,11.42,9.78
0.12,1.0,0.21,0.73,12.62,11.54,10.67
0.36,0.82,0.5,0.79,5.33,10.98,9.78
0.06,1.0,0.11,0.47,6.58,10.61,9.7
0.04,1.0,0.08,1.0,17.24,11.12,9.78
0.02,1.0,0.04,1.0,12.46,11.22,10.67
0.14,1.0,0.25,0.66,2.53,10.64,9.78
0.12,1.0,0.21,0.98,4.89,10.28,9.7
0.02,1.0,0.04,1.0,4.46,9.94,9.61
0.02,1.0,0.04,1.0,14.69,10.2,9.7
0.04,1.0,0.08,0.14,11.72,10.28,9.78
0.1,0.33,0.15,0.67,9.11,10.22,9.7
0.28,1.0,0.44,0.93,4.28,9.94,9.61
0.06,1.0,0.11,0.07,3.63,9.65,9.36
0.26,1.0,0.41,0.59,5.33,9.47,9.11
0.04,1.0,0.08,1.0,21.83,9.98,9.36
0.04,1.0,0.08,0.54,11.03,10.02,9.61
0.06,0.33,0.1,0.41,7.79,9.94,9.36
0.04,1.0,0.08,1.0,9.05,9.9,9.11
0.0,0.0,0.0,0.0,7.24,9.81,9.08
0.04,1.0,0.08,0.62,12.85,9.91,9.11
0.04,1.0,0.08,0.23,9.41,9.9,9.26
0.38,0.9,0.54,0.8,8.81,9.86,9.11
0.04,1.0,0.08,1.0,3.35,9.66,9.08
0.0,0.0,0.0,0.0,7.36,9.59,9.05
0.02,1.0,0.04,1.0,32.28,10.26,9.08
0.16,1.0,0.28,0.87,6.08,10.14,9.05
0.28,1.0,0.44,0.95,16.66,10.32,9.08
0.04,1.0,0.08,0.83,11.43,10.35,9.11
0.02,1.0,0.04,1.0,15.76,10.49,9.26
0.12,1.0,0.21,0.56,18.6,10.7,9.41
0.2,1.0,0.33,0.5,2.81,10.5,9.26
0.44,1.0,0.61,0.87,6.1,10.39,9.11
0.1,1.0,0.18,0.81,20.12,10.63,9.26
0.02,1.0,0.04,1.0,2.18,10.43,9.11
0.02,1.0,0.04,1.0,10.83,10.44,9.26
0.02,1.0,0.04,1.0,6.4,10.35,9.11
0.02,1.0,0.04,1.0,13.21,10.41,9.26
0.04,0.4,0.07,0.04,11.82,10.44,9.41
0.08,1.0,0.15,0.13,3.95,10.31,9.26
0.16,1.0,0.28,0.34,8.01,10.26,9.11
0.06,1.0,0.11,0.42,17.31,10.4,9.26
0.02,0.33,0.04,0.04,11.68,10.42,9.41
0.04,0.4,0.07,0.83,5.83,10.34,9.26
0.02,0.33,0.04,0.2,10.93,10.35,9.41
0.24,1.0,0.39,0.94,2.62,10.2,9.26
0.1,1.0,0.18,0.33,3.32,10.08,9.11
0.16,0.89,0.27,1.0,1.84,9.93,9.08
0.02,1.0,0.04,0.33,4.02,9.83,9.05
0.04,1.0,0.08,0.42,5.86,9.76,8.93
0.0,0.0,0.0,0.0,12.31,9.8,9.05
0.06,1.0,0.11,1.0,4.06,9.71,8.93
0.14,1.0,0.25,0.9,7.58,9.67,8.81
0.02,1.0,0.04,0.17,5.47,9.6,8.41
0.04,0.67,0.08,0.04,8.07,9.58,8.07
0.0,0.0,0.0,0.0,10.48,9.59,8.44
0.02,0.12,0.03,0.08,8.58,9.58,8.58
0.1,0.83,0.18,0.7,6.68,9.53,8.33
0.0,0.0,0.0,0.0,2.86,9.44,8.07
0.14,0.7,0.23,0.79,4.58,9.36,8.04
0.0,0.0,0.0,0.0,4.65,9.3,8.01
0.02,1.0,0.04,0.5,5.06,9.23,7.9
0.1,0.56,0.17,0.17,6.94,9.2,7.79
0.06,0.75,0.11,0.3,5.51,9.15,7.69
0.02,1.0,0.04,1.0,9.29,9.15,7.79
0.02,1.0,0.04,0.33,6.44,9.12,7.69
0.08,1.0,0.15,0.34,3.7,9.04,7.58
0.02,1.0,0.04,1.0,2.15,8.95,7.47
0.04,0.67,0.08,1.0,3.61,8.88,7.36
0.02,1.0,0.04,1.0,1.75,8.79,7.3
0.06,1.0,0.11,0.06,4.97,8.74,7.24
0.0,0.0,0.0,0.0,14.1,8.81,7.3
0.06,1.0,0.11,0.92,1.95,8.73,7.24
0.04,0.29,0.07,0.04,6.87,8.7,7.09
0.1,1.0,0.18,1.0,5.83,8.67,6.94
0.06,0.75,0.11,1.0,4.61,8.62,6.91
0.0,0.0,0.0,0.0,4.88,8.58,6.87
0.02,1.0,0.04,0.5,3.69,8.52,6.77
