precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.03,1.0,0.06,0.28,4.25,4.25,4.25
0.06,1.0,0.11,0.51,3.25,3.75,3.75
0.01,1.0,0.02,1.0,6.42,4.64,4.25
0.03,1.0,0.06,0.64,3.0,4.23,3.75
0.04,1.0,0.08,0.62,4.34,4.25,4.25
0.01,1.0,0.02,1.0,2.74,4.0,3.75
0.04,1.0,0.08,1.0,6.98,4.42,4.25
0.01,1.0,0.02,1.0,2.59,4.2,3.75
0.01,1.0,0.02,1.0,3.65,4.13,3.65
0.06,1.0,0.11,0.74,3.19,4.04,3.45
0.19,0.86,0.31,0.91,1.57,3.82,3.25
0.03,1.0,0.06,0.5,2.08,3.67,3.22
0.02,1.0,0.04,1.0,6.58,3.89,3.25
0.01,1.0,0.02,1.0,1.85,3.75,3.22
0.07,1.0,0.13,0.98,3.18,3.71,3.19
0.06,1.0,0.11,0.92,2.07,3.61,3.18
0.01,1.0,0.02,1.0,2.08,3.52,3.18
0.01,1.0,0.02,1.0,7.0,3.71,3.18
0.02,1.0,0.04,0.55,3.67,3.71,3.19
0.13,0.87,0.23,0.61,3.36,3.69,3.22
0.08,0.57,0.14,0.61,0.47,3.54,3.19
0.03,1.0,0.06,0.61,0.65,3.41,3.18
0.13,1.0,0.23,0.96,3.36,3.41,3.19
0.02,1.0,0.04,1.0,8.79,3.63,3.22
0.02,1.0,0.04,0.59,6.73,3.75,3.25
0.09,1.0,0.17,0.56,4.69,3.79,3.3
0.02,1.0,0.04,1.0,3.1,3.76,3.25
0.01,1.0,0.02,0.04,0.69,3.65,3.22
0.02,1.0,0.04,1.0,2.82,3.63,3.19
0.02,1.0,0.04,0.83,4.6,3.66,3.22
0.2,0.95,0.33,0.88,4.2,3.68,3.25
0.02,1.0,0.04,1.0,2.32,3.63,3.22
0.02,0.67,0.04,0.02,2.65,3.6,3.19
0.01,1.0,0.02,1.0,11.31,3.83,3.22
0.08,1.0,0.15,1.0,0.79,3.74,3.19
0.14,1.0,0.25,1.0,5.83,3.8,3.22
0.02,1.0,0.04,1.0,3.9,3.8,3.25
0.01,1.0,0.02,1.0,6.05,3.86,3.3
0.06,1.0,0.11,0.98,5.89,3.92,3.36
0.5,1.0,0.67,0.5,2.36,3.88,3.3
0.21,0.95,0.34,0.94,1.96,3.83,3.25
0.05,1.0,0.1,1.0,7.22,3.91,3.3
0.01,1.0,0.02,1.0,2.09,3.87,3.25
0.01,1.0,0.02,1.0,2.71,3.84,3.22
0.01,1.0,0.02,0.2,1.11,3.78,3.19
0.01,1.0,0.02,1.0,2.04,3.74,3.18
0.05,1.0,0.1,0.29,2.71,3.72,3.18
0.04,1.0,0.08,0.3,0.96,3.66,3.14
0.08,1.0,0.15,1.0,3.27,3.66,3.18
