precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.02,0.67,0.04,0.03,9.02,9.02,9.02
0.03,0.5,0.06,0.14,5.74,7.38,7.38
0.01,1.0,0.02,0.5,21.9,12.22,9.02
0.03,1.0,0.06,0.12,10.43,11.77,9.73
0.04,1.0,0.08,0.38,10.15,11.45,10.15
0.01,1.0,0.02,1.0,5.65,10.48,9.59
0.04,1.0,0.08,0.89,18.27,11.6,10.15
0.01,1.0,0.02,1.0,2.16,10.42,9.59
0.01,1.0,0.02,1.0,10.83,10.46,10.15
0.05,0.83,0.09,0.59,10.43,10.46,10.29
0.18,0.82,0.3,0.67,4.6,9.93,10.15
0.03,1.0,0.06,0.14,5.9,9.59,9.59
0.02,1.0,0.04,1.0,14.87,10.0,10.15
0.01,1.0,0.02,1.0,10.64,10.04,10.29
0.07,1.0,0.13,0.69,2.38,9.53,10.15
0.06,1.0,0.11,0.67,3.85,9.18,9.59
0.01,1.0,0.02,1.0,3.6,8.85,9.02
0.01,1.0,0.02,1.0,12.72,9.06,9.59
0.01,0.5,0.02,0.2,9.87,9.11,9.87
0.12,0.8,0.21,0.58,7.78,9.04,9.45
0.08,0.57,0.14,0.42,3.39,8.77,9.02
0.03,1.0,0.06,0.16,2.78,8.5,8.4
0.13,1.0,0.23,0.7,4.53,8.33,7.78
0.02,1.0,0.04,0.83,19.51,8.79,8.4
0.02,1.0,0.04,0.51,9.29,8.81,9.02
0.06,0.67,0.11,0.45,6.53,8.72,8.4
0.02,1.0,0.04,1.0,8.14,8.7,8.14
0.0,0.0,0.0,0.0,5.88,8.6,7.96
0.02,1.0,0.04,1.0,10.86,8.68,8.14
0.02,1.0,0.04,0.2,8.54,8.67,8.34
0.2,0.95,0.33,0.75,7.2,8.63,8.14
0.02,1.0,0.04,0.38,2.76,8.44,7.96
0.0,0.0,0.0,0.0,6.13,8.37,7.78
0.01,1.0,0.02,1.0,21.18,8.75,7.96
0.08,1.0,0.15,0.81,3.47,8.6,7.78
0.14,1.0,0.25,0.77,10.88,8.66,7.96
0.02,1.0,0.04,1.0,8.26,8.65,8.14
0.01,1.0,0.02,1.0,11.41,8.72,8.2
0.06,1.0,0.11,0.79,14.98,8.89,8.26
0.2,1.0,0.33,0.5,2.3,8.72,8.2
0.21,0.95,0.34,0.88,4.86,8.63,8.14
0.05,1.0,0.1,0.69,16.54,8.81,8.2
0.01,1.0,0.02,1.0,1.58,8.65,8.14
0.01,1.0,0.02,1.0,6.56,8.6,7.96
0.01,1.0,0.02,0.06,4.22,8.5,7.78
0.01,1.0,0.02,1.0,10.29,8.54,7.96
0.02,0.4,0.04,0.02,8.92,8.55,8.14
0.04,1.0,0.08,0.04,3.06,8.43,7.96
0.08,1.0,0.15,0.61,6.06,8.39,7.78
0.03,1.0,0.06,0.27,12.95,8.48,7.96
0.02,0.67,0.04,0.26,8.64,8.48,8.14
0.03,0.6,0.06,0.36,4.48,8.4,7.96
0.03,1.0,0.06,0.06,9.26,8.42,8.14
0.12,1.0,0.21,0.55,1.86,8.3,7.96
0.02,0.4,0.04,0.05,2.6,8.19,7.78
0.08,0.89,0.15,0.52,1.23,8.07,7.49
0.01,1.0,0.02,0.12,3.02,7.98,7.2
0.02,1.0,0.04,1.0,4.41,7.92,6.88
0.0,0.0,0.0,0.0,10.1,7.96,7.2
0.03,1.0,0.06,1.0,3.21,7.88,6.88
0.07,1.0,0.13,0.9,5.59,7.84,6.56
0.01,1.0,0.02,0.09,4.43,7.79,6.54
0.0,0.0,0.0,0.0,6.34,7.76,6.53
0.0,0.0,0.0,0.0,8.46,7.77,6.54
0.06,0.75,0.11,0.25,6.63,7.76,6.56
0.03,0.5,0.06,0.7,5.49,7.72,6.54
0.0,0.0,0.0,0.0,2.28,7.64,6.53
0.08,0.8,0.15,0.71,3.33,7.58,6.44
0.01,1.0,0.02,0.33,3.02,7.51,6.34
0.01,1.0,0.02,1.0,3.99,7.46,6.24
0.07,0.78,0.13,0.24,5.05,7.43,6.13
0.02,0.5,0.04,0.03,4.62,7.39,6.09
0.01,1.0,0.02,0.5,8.48,7.4,6.13
0.01,1.0,0.02,0.5,5.7,7.38,6.09
0.03,0.75,0.06,0.09,2.99,7.32,6.06
0.01,1.0,0.02,0.5,1.7,7.25,5.98
0.02,0.67,0.04,0.83,2.98,7.19,5.9
0.01,1.0,0.02,1.0,1.32,7.12,5.89
0.02,0.67,0.04,0.11,4.13,7.08,5.88
0.0,0.0,0.0,0.0,12.08,7.14,5.89
0.03,1.0,0.06,0.81,1.63,7.07,5.88
0.02,0.29,0.04,0.52,5.84,7.06,5.86
0.05,1.0,0.1,0.33,4.79,7.03,5.84
0.03,0.75,0.06,0.79,3.62,6.99,5.79
0.0,0.0,0.0,0.0,4.16,6.96,5.74
0.01,1.0,0.02,1.0,3.03,6.91,5.72
0.01,0.33,0.02,0.12,3.98,6.88,5.7
0.02,0.5,0.04,0.51,4.91,6.85,5.67
0.05,0.83,0.09,0.05,3.16,6.81,5.65
0.01,1.0,0.02,1.0,0.52,6.74,5.62
0.0,0.0,0.0,0.0,2.24,6.69,5.59
0.04,0.8,0.08,0.09,3.34,6.66,5.54
0.07,1.0,0.13,0.91,4.27,6.63,5.49
0.06,0.67,0.11,0.15,1.53,6.58,5.27
0.01,1.0,0.02,0.04,17.59,6.69,5.49
0.01,1.0,0.02,0.02,5.71,6.68,5.54
0.0,0.0,0.0,0.0,3.32,6.65,5.49
0.0,0.0,0.0,0.0,1.92,6.6,5.27
0.05,1.0,0.1,0.3,2.36,6.56,5.05
0.11,0.65,0.19,0.39,9.18,6.58,5.27
